phylum_a	phylum_b	mya	source
Apicomplexa	Chlorophyta		unknown
Apicomplexa	Fungi		unknown
Apicomplexa	Ctenophora		unknown
Apicomplexa	Choanoflagellatea		unknown
Apicomplexa	Placozoa		unknown
Apicomplexa	Cnidaria		unknown
Apicomplexa	Annelida		unknown
Apicomplexa	Viridiplantae		unknown
Apicomplexa	Platyhelminthes		unknown
Apicomplexa	Brachiopoda		unknown
Apicomplexa	Nematoda		unknown
Apicomplexa	Mollusca		unknown
Apicomplexa	Priapulida		unknown
Apicomplexa	Myriapoda		unknown
Apicomplexa	Insecta		unknown
Apicomplexa	Hemichordata		unknown
Apicomplexa	Chelicerata		unknown
Apicomplexa	Crustacea		unknown
Apicomplexa	Echinodermata		unknown
Apicomplexa	Cephalochordata		unknown
Euglenozoa	Chlorophyta		unknown
Euglenozoa	Fungi		unknown
Euglenozoa	Viridiplantae		unknown
Euglenozoa	Placozoa		unknown
Euglenozoa	Cnidaria		unknown
Euglenozoa	Platyhelminthes		unknown
Euglenozoa	Choanoflagellatea		unknown
Euglenozoa	Ctenophora		unknown
Euglenozoa	Annelida		unknown
Euglenozoa	Brachiopoda		unknown
Euglenozoa	Mollusca		unknown
Euglenozoa	Nematoda		unknown
Euglenozoa	Priapulida		unknown
Euglenozoa	Myriapoda		unknown
Euglenozoa	Crustacea		unknown
Euglenozoa	Chelicerata		unknown
Euglenozoa	Insecta		unknown
Euglenozoa	Echinodermata		unknown
Euglenozoa	Cephalochordata		unknown
Euglenozoa	Hemichordata		unknown
Chlorophyta	Fungi		unknown
Chlorophyta	Annelida		unknown
Chlorophyta	Ctenophora		unknown
Chlorophyta	Choanoflagellatea		unknown
Chlorophyta	Viridiplantae		unknown
Chlorophyta	Platyhelminthes		unknown
Chlorophyta	Cnidaria		unknown
Chlorophyta	Placozoa		unknown
Chlorophyta	Mollusca		unknown
Chlorophyta	Brachiopoda		unknown
Chlorophyta	Nematoda		unknown
Chlorophyta	Crustacea		unknown
Chlorophyta	Priapulida		unknown
Chlorophyta	Hemichordata		unknown
Chlorophyta	Chelicerata		unknown
Chlorophyta	Insecta		unknown
Chlorophyta	Cephalochordata		unknown
Chlorophyta	Echinodermata		unknown
Fungi	Choanoflagellatea		unknown
Chlorophyta	Myriapoda		unknown
Fungi	Viridiplantae		unknown
Fungi	Ctenophora		unknown
Fungi	Placozoa		unknown
Fungi	Brachiopoda		unknown
Fungi	Platyhelminthes		unknown
Fungi	Priapulida		unknown
Fungi	Cnidaria		unknown
Fungi	Annelida		unknown
Fungi	Nematoda		unknown
Fungi	Mollusca		unknown
Fungi	Chelicerata		unknown
Fungi	Crustacea		unknown
Fungi	Hemichordata		unknown
Fungi	Echinodermata		unknown
Fungi	Myriapoda		unknown
Fungi	Insecta		unknown
Choanoflagellatea	Viridiplantae		unknown
Choanoflagellatea	Ctenophora		unknown
Fungi	Cephalochordata		unknown
Choanoflagellatea	Placozoa		unknown
Choanoflagellatea	Platyhelminthes		unknown
Choanoflagellatea	Cnidaria		unknown
Choanoflagellatea	Annelida		unknown
